id,pLDDT_Rank1
ProtGPT2_10701,87.38
ProtGPT2_10738,69.92
ProtGPT2_108,74.76
ProtGPT2_10919,78.61
ProtGPT2_11066,68.91
ProtGPT2_11260,72.76
ProtGPT2_11349,69.92
ProtGPT2_1155,71.81
ProtGPT2_11564,64.24
ProtGPT2_11704,67.33
ProtGPT2_11713,69.91
ProtGPT2_11717,68.54
ProtGPT2_12175,75.73
ProtGPT2_12249,75.22
ProtGPT2_12259,72.0
ProtGPT2_12299,68.84
ProtGPT2_12534,72.18
ProtGPT2_12573,69.2
ProtGPT2_12727,76.96
ProtGPT2_12810,72.7
ProtGPT2_12962,82.75
ProtGPT2_13012,71.2
ProtGPT2_13082,74.08
ProtGPT2_13158,74.43
ProtGPT2_13170,69.54
ProtGPT2_13292,73.46
ProtGPT2_13541,72.16
ProtGPT2_13627,68.1
ProtGPT2_13751,74.54
ProtGPT2_1405,59.27
ProtGPT2_14109,73.63
ProtGPT2_14217,81.94
ProtGPT2_14243,67.24
ProtGPT2_1445,77.59
ProtGPT2_14787,77.23
ProtGPT2_14803,62.46
ProtGPT2_15061,74.72
ProtGPT2_15110,70.54
ProtGPT2_15111,72.67
ProtGPT2_15296,78.81
ProtGPT2_15305,68.31
ProtGPT2_15398,77.51
ProtGPT2_15658,72.63
ProtGPT2_16090,85.95
ProtGPT2_1692,75.97
ProtGPT2_16983,77.42
ProtGPT2_16993,55.43
ProtGPT2_17145,79.32
ProtGPT2_17231,71.52
ProtGPT2_17487,76.51
ProtGPT2_17597,66.76
ProtGPT2_2444,61.83
ProtGPT2_2545,71.45
ProtGPT2_2654,67.73
ProtGPT2_2699,79.74
ProtGPT2_2732,61.69
ProtGPT2_2735,75.01
ProtGPT2_2804,61.41
ProtGPT2_2827,77.15
ProtGPT2_2874,73.84
ProtGPT2_2885,58.18
ProtGPT2_2888,75.73
ProtGPT2_3220,66.14
ProtGPT2_3559,66.79
ProtGPT2_399,71.79
ProtGPT2_4315,63.41
ProtGPT2_4576,63.09
ProtGPT2_4771,60.96
ProtGPT2_4976,68.49
ProtGPT2_5006,80.36
ProtGPT2_5175,75.33
ProtGPT2_5228,70.46
ProtGPT2_535,77.38
ProtGPT2_5361,61.0
ProtGPT2_5382,69.85
ProtGPT2_5456,78.47
ProtGPT2_5578,88.16
ProtGPT2_5650,81.82
ProtGPT2_5950,80.0
ProtGPT2_6185,56.38
ProtGPT2_649,73.22
ProtGPT2_6590,55.05
ProtGPT2_6688,66.56
ProtGPT2_7021,73.72
ProtGPT2_703,75.0
ProtGPT2_7500,80.62
ProtGPT2_7728,75.99
ProtGPT2_7852,90.43
ProtGPT2_8211,70.79
ProtGPT2_8219,61.75
ProtGPT2_8617,74.89
ProtGPT2_887,73.18
ProtGPT2_8965,76.47
ProtGPT2_8999,69.01
ProtGPT2_9310,71.21
ProtGPT2_9413,74.69
ProtGPT2_9418,68.24
ProtGPT2_9634,71.44
ProtGPT2_9739,67.6
ProtGPT2_9992,68.53
ProtGPT2_10265,67.28
ProtGPT2_10306,75.23
ProtGPT2_10397,77.1
ProtGPT2_1049,71.22
ProtGPT2_10754,79.67
ProtGPT2_11104,79.75
ProtGPT2_11177,69.7
ProtGPT2_11591,70.18
ProtGPT2_11643,66.97
ProtGPT2_11755,76.96
ProtGPT2_12102,69.39
ProtGPT2_12111,67.87
ProtGPT2_12248,49.89
ProtGPT2_12536,86.18
ProtGPT2_1296,68.79
ProtGPT2_13098,80.93
ProtGPT2_1321,72.83
ProtGPT2_13606,54.08
ProtGPT2_13620,85.97
ProtGPT2_13660,72.51
ProtGPT2_13754,74.7
ProtGPT2_13783,80.99
ProtGPT2_13977,76.41
ProtGPT2_1411,79.2
ProtGPT2_14287,58.37
ProtGPT2_14495,82.52
ProtGPT2_1458,79.93
ProtGPT2_14974,77.64
ProtGPT2_15692,63.34
ProtGPT2_1573,68.6
ProtGPT2_15914,69.48
ProtGPT2_15923,78.12
ProtGPT2_1635,68.03
ProtGPT2_16520,62.21
ProtGPT2_16552,72.57
ProtGPT2_16594,74.71
ProtGPT2_16603,81.6
ProtGPT2_171,88.94
ProtGPT2_17266,69.2
ProtGPT2_17308,66.42
ProtGPT2_17762,71.8
ProtGPT2_17803,63.4
ProtGPT2_2043,79.33
ProtGPT2_2131,74.27
ProtGPT2_2176,70.74
ProtGPT2_223,66.95
ProtGPT2_2443,63.75
ProtGPT2_267,79.8
ProtGPT2_2936,80.91
ProtGPT2_2964,76.78
ProtGPT2_3216,63.56
ProtGPT2_3223,72.17
ProtGPT2_3344,64.05
ProtGPT2_339,67.89
ProtGPT2_3866,67.52
ProtGPT2_4027,58.42
ProtGPT2_408,77.22
ProtGPT2_4453,61.88
ProtGPT2_4579,81.46
ProtGPT2_4591,71.16
ProtGPT2_481,72.97
ProtGPT2_4955,73.45
ProtGPT2_5260,49.72
ProtGPT2_5323,77.42
ProtGPT2_5406,65.68
ProtGPT2_5507,61.26
ProtGPT2_5759,79.25
ProtGPT2_5874,77.58
ProtGPT2_6323,78.49
ProtGPT2_6338,67.27
ProtGPT2_640,79.77
ProtGPT2_669,77.92
ProtGPT2_6713,67.2
ProtGPT2_673,60.8
ProtGPT2_6783,76.13
ProtGPT2_6858,62.78
ProtGPT2_6887,62.48
ProtGPT2_6915,74.79
ProtGPT2_6921,70.63
ProtGPT2_7125,67.45
ProtGPT2_7137,77.22
ProtGPT2_7235,79.47
ProtGPT2_7407,75.16
ProtGPT2_7606,67.06
ProtGPT2_7614,56.76
ProtGPT2_7799,77.65
ProtGPT2_8136,69.77
ProtGPT2_8310,75.3
ProtGPT2_864,64.67
ProtGPT2_8848,64.83
ProtGPT2_8893,80.57
ProtGPT2_9085,59.48
ProtGPT2_9137,70.93
ProtGPT2_9299,74.55
ProtGPT2_953,76.11
ProtGPT2_9537,75.81
ProtGPT2_9635,68.41
ProtGPT2_9781,77.48
ProtGPT2_9790,68.49
ProtGPT2_9997,73.73
ProtGPT2_10634,60.4
ProtGPT2_10967,75.91
ProtGPT2_11130,68.7
ProtGPT2_1143,77.71
ProtGPT2_11447,66.87
ProtGPT2_11557,70.43
ProtGPT2_11753,77.38
ProtGPT2_12079,66.3
ProtGPT2_12093,70.69
ProtGPT2_12251,83.46
ProtGPT2_1239,57.11
ProtGPT2_12421,69.63
ProtGPT2_12455,69.2
ProtGPT2_12744,77.4
ProtGPT2_12818,64.35
ProtGPT2_12829,83.45
ProtGPT2_13368,56.16
ProtGPT2_13462,77.86
ProtGPT2_13572,81.31
ProtGPT2_13758,80.51
ProtGPT2_13993,63.55
ProtGPT2_14033,69.92
ProtGPT2_14101,74.9
ProtGPT2_14347,71.06
ProtGPT2_1450,68.34
ProtGPT2_14759,62.72
ProtGPT2_14828,72.88
ProtGPT2_15015,71.61
ProtGPT2_15136,63.28
ProtGPT2_15179,66.26
ProtGPT2_15532,51.31
ProtGPT2_15693,82.22
ProtGPT2_15866,74.78
ProtGPT2_16371,71.4
ProtGPT2_16772,78.64
ProtGPT2_16816,64.69
ProtGPT2_17005,73.83
ProtGPT2_17126,65.54
ProtGPT2_17159,64.31
ProtGPT2_17289,79.13
ProtGPT2_17634,76.56
ProtGPT2_1776,62.43
ProtGPT2_1795,63.23
ProtGPT2_1889,73.85
ProtGPT2_2177,52.65
ProtGPT2_249,73.81
ProtGPT2_2657,58.62
ProtGPT2_275,76.16
ProtGPT2_2798,74.76
ProtGPT2_3085,67.48
ProtGPT2_3111,73.93
ProtGPT2_3687,70.95
ProtGPT2_4085,73.32
ProtGPT2_4124,74.23
ProtGPT2_4335,69.27
ProtGPT2_437,69.07
ProtGPT2_4482,79.78
ProtGPT2_4673,72.13
ProtGPT2_4762,65.81
ProtGPT2_4776,65.33
ProtGPT2_4859,73.06
ProtGPT2_4920,69.57
ProtGPT2_5645,74.94
ProtGPT2_5735,81.43
ProtGPT2_591,75.88
ProtGPT2_6201,84.76
ProtGPT2_6380,65.57
ProtGPT2_6511,55.0
ProtGPT2_6577,81.82
ProtGPT2_6678,68.83
ProtGPT2_6742,72.69
ProtGPT2_6883,63.84
ProtGPT2_6952,76.88
ProtGPT2_7045,78.76
ProtGPT2_7067,64.78
ProtGPT2_7326,61.84
ProtGPT2_7352,76.46
ProtGPT2_7379,83.23
ProtGPT2_7464,54.84
ProtGPT2_7815,66.99
ProtGPT2_7967,70.64
ProtGPT2_8003,58.74
ProtGPT2_806,56.08
ProtGPT2_8169,72.93
ProtGPT2_821,59.55
ProtGPT2_8238,65.26
ProtGPT2_8603,59.07
ProtGPT2_8679,72.81
ProtGPT2_8743,53.15
ProtGPT2_89,78.0
ProtGPT2_8943,63.83
ProtGPT2_8956,64.14
ProtGPT2_909,74.43
ProtGPT2_9214,64.07
ProtGPT2_9326,65.53
ProtGPT2_933,65.07
ProtGPT2_9546,85.36
ProtGPT2_9648,66.24
ProtGPT2_9752,78.14
ProtGPT2_9775,76.93
ProtGPT2_1004,69.88
ProtGPT2_10201,69.41
ProtGPT2_10445,76.24
ProtGPT2_10493,76.71
ProtGPT2_10514,76.89
ProtGPT2_10651,60.67
ProtGPT2_10808,56.04
ProtGPT2_11298,72.4
ProtGPT2_11332,61.8
ProtGPT2_11479,76.13
ProtGPT2_11486,59.27
ProtGPT2_11672,83.57
ProtGPT2_11685,74.95
ProtGPT2_11797,66.66
ProtGPT2_12416,73.87
ProtGPT2_12578,72.88
ProtGPT2_12634,77.45
ProtGPT2_12718,77.49
ProtGPT2_12767,66.45
ProtGPT2_12768,71.74
ProtGPT2_12830,80.29
