id	pLDDT_Rank1
CVAE_10069	67.41
CVAE_10329	69.92
CVAE_10478	76.71
CVAE_10539	85.22
CVAE_10585	74.64
CVAE_10815	74.74
CVAE_10957	76.75
CVAE_10996	91.42
CVAE_11097	81.06
CVAE_11125	70.08
CVAE_11149	77.39
CVAE_11274	86.52
CVAE_11415	67.19
CVAE_11440	82.97
CVAE_11634	71.66
CVAE_11746	72.14
CVAE_11806	69.99
CVAE_11955	70.26
CVAE_12101	80.55
CVAE_12316	70.75
CVAE_12341	78.78
CVAE_13032	75.42
CVAE_13320	75.34
CVAE_13492	72.40
CVAE_13509	69.75
CVAE_13616	76.08
CVAE_13873	78.27
CVAE_14367	68.06
CVAE_14384	83.11
CVAE_14424	83.40
CVAE_14742	69.96
CVAE_14808	73.39
CVAE_14833	81.56
CVAE_14836	76.03
CVAE_14922	80.28
CVAE_15415	77.09
CVAE_15528	67.84
CVAE_15569	68.09
CVAE_15638	75.13
CVAE_1598	81.83
CVAE_15987	72.25
CVAE_16007	88.08
CVAE_1643	69.30
CVAE_16563	75.33
CVAE_16773	77.47
CVAE_16877	74.88
CVAE_16990	81.73
CVAE_1720	76.53
CVAE_17260	73.95
CVAE_17354	83.91
CVAE_17458	87.81
CVAE_17499	78.38
CVAE_17501	79.22
CVAE_17515	65.75
CVAE_18071	71.66
CVAE_18240	81.93
CVAE_18301	73.67
CVAE_18448	76.50
CVAE_18502	73.45
CVAE_1857	75.05
CVAE_1901	79.27
CVAE_2511	76.49
CVAE_2516	76.96
CVAE_2688	69.58
CVAE_313	74.93
CVAE_3897	77.30
CVAE_4295	79.46
CVAE_463	77.28
CVAE_4643	72.73
CVAE_4859	72.86
CVAE_4941	73.91
CVAE_5112	71.85
CVAE_5125	81.11
CVAE_5234	76.61
CVAE_5243	73.78
CVAE_5387	73.89
CVAE_6269	72.55
CVAE_652	68.95
CVAE_681	70.99
CVAE_7032	73.59
CVAE_7168	65.20
CVAE_7175	77.48
CVAE_7312	84.27
CVAE_7376	76.04
CVAE_7823	79.25
CVAE_7864	63.78
CVAE_7866	70.36
CVAE_7915	73.92
CVAE_8293	77.92
CVAE_8340	66.18
CVAE_8545	74.87
CVAE_8675	69.86
CVAE_9066	77.10
CVAE_9223	81.79
CVAE_9285	83.96
CVAE_9380	70.40
CVAE_96	70.28
CVAE_9642	71.48
CVAE_9706	69.95
CVAE_9879	76.83
