id,pLDDT_Rank1
CVAE_10099,73.02
CVAE_1012,73.94
CVAE_10228,83.49
CVAE_10258,79.57
CVAE_10288,72.51
CVAE_10314,70.95
CVAE_10452,77.16
CVAE_10608,70.48
CVAE_10795,82.24
CVAE_10801,79.82
CVAE_10842,80.13
CVAE_11205,76.53
CVAE_11376,73.51
CVAE_11539,76.22
CVAE_1172,75.52
CVAE_11956,72.35
CVAE_12027,77.09
CVAE_1224,81.47
CVAE_12303,78.74
CVAE_12357,80.92
CVAE_12403,79.02
CVAE_12595,65.08
CVAE_13151,74.02
CVAE_1348,81.74
CVAE_13485,77.8
CVAE_135,76.64
CVAE_13594,75.07
CVAE_13744,77.9
CVAE_13769,80.59
CVAE_13899,75.71
CVAE_13981,74.0
CVAE_14210,74.63
CVAE_14241,71.81
CVAE_14363,72.22
CVAE_14439,74.62
CVAE_14693,73.04
CVAE_14740,88.68
CVAE_15029,71.57
CVAE_15066,70.1
CVAE_15385,71.87
CVAE_16606,83.93
CVAE_16672,73.4
CVAE_16814,68.82
CVAE_16949,79.85
CVAE_17055,83.59
CVAE_17217,75.8
CVAE_17224,78.95
CVAE_17353,73.76
CVAE_1760,72.62
CVAE_17612,72.19
CVAE_1814,75.63
CVAE_18236,71.11
CVAE_18281,72.71
CVAE_1976,66.99
CVAE_2268,72.16
CVAE_2778,74.52
CVAE_2917,75.54
CVAE_308,70.2
CVAE_3139,72.4
CVAE_3357,75.92
CVAE_3367,70.5
CVAE_374,69.91
CVAE_3819,81.1
CVAE_3822,70.77
CVAE_3835,66.75
CVAE_4068,78.05
CVAE_4168,73.04
CVAE_4177,72.58
CVAE_4221,74.34
CVAE_4616,77.18
CVAE_4909,80.81
CVAE_5090,73.51
CVAE_5092,76.77
CVAE_5132,83.98
CVAE_5212,76.26
CVAE_618,72.76
CVAE_6210,68.54
CVAE_623,75.0
CVAE_6263,77.46
CVAE_6508,80.83
CVAE_6557,78.04
CVAE_6597,70.45
CVAE_6985,59.81
CVAE_708,67.36
CVAE_726,71.05
CVAE_7344,80.19
CVAE_7358,79.59
CVAE_7554,69.3
CVAE_8039,67.78
CVAE_822,68.91
CVAE_8511,72.74
CVAE_9119,74.46
CVAE_9204,83.53
CVAE_9222,70.97
CVAE_9307,72.92
CVAE_9357,79.27
CVAE_936,70.77
CVAE_9538,75.77
CVAE_9809,77.73
CVAE_9908,74.2
CVAE_10125,80.63
CVAE_10283,77.43
CVAE_10306,69.93
CVAE_10338,81.93
CVAE_1051,74.05
CVAE_10739,78.68
CVAE_10849,70.25
CVAE_10876,81.33
CVAE_11255,74.49
CVAE_11259,72.74
CVAE_1129,70.21
CVAE_11458,70.85
CVAE_11475,74.33
CVAE_11918,81.18
CVAE_11995,75.35
CVAE_12581,71.58
CVAE_12614,72.84
CVAE_12830,77.78
CVAE_12995,73.07
CVAE_13102,75.96
CVAE_13210,82.44
CVAE_13526,69.31
CVAE_13663,65.96
CVAE_13733,81.4
CVAE_13776,74.19
CVAE_13822,73.92
CVAE_13973,71.98
CVAE_14061,63.38
CVAE_14289,82.98
CVAE_14401,76.56
CVAE_14595,87.84
CVAE_15112,80.87
CVAE_15119,80.7
CVAE_1547,67.22
CVAE_15527,73.04
CVAE_15580,77.03
CVAE_15585,79.5
CVAE_15969,73.72
CVAE_15989,65.59
CVAE_16066,85.45
CVAE_16242,71.28
CVAE_16702,77.93
CVAE_16862,80.64
CVAE_16879,78.0
CVAE_16900,74.68
CVAE_16923,87.57
CVAE_17109,77.86
CVAE_17119,74.03
CVAE_17310,78.06
CVAE_17417,72.44
CVAE_17791,69.54
CVAE_17812,72.45
CVAE_17893,70.49
CVAE_17914,73.08
CVAE_18050,77.85
CVAE_18086,76.84
CVAE_18163,76.47
CVAE_18345,74.82
CVAE_1968,79.53
CVAE_2,72.14
CVAE_2107,78.07
CVAE_2553,80.22
CVAE_2653,76.52
CVAE_3040,68.23
CVAE_3137,64.1
CVAE_3157,73.25
CVAE_3299,79.15
CVAE_339,75.03
CVAE_3405,77.44
CVAE_3907,78.47
CVAE_4109,77.34
CVAE_422,72.57
CVAE_454,73.18
CVAE_4603,81.89
CVAE_4860,80.42
CVAE_4891,75.44
CVAE_4956,90.12
CVAE_5142,83.3
CVAE_5341,74.73
CVAE_5691,79.49
CVAE_63,73.77
CVAE_6599,68.31
CVAE_6772,71.81
CVAE_6777,77.33
CVAE_6912,76.93
CVAE_7173,75.02
CVAE_729,75.03
CVAE_7325,66.95
CVAE_7337,74.72
CVAE_7482,75.92
CVAE_8622,78.48
CVAE_8627,65.91
CVAE_8877,73.18
CVAE_8960,69.82
CVAE_9152,79.47
CVAE_9252,71.49
CVAE_9478,90.05
CVAE_9496,70.39
CVAE_9691,75.91
CVAE_9740,81.07
CVAE_10009,75.62
CVAE_10216,63.27
CVAE_10328,69.43
CVAE_10581,67.6
CVAE_10622,65.64
CVAE_10671,82.6
CVAE_10777,71.6
CVAE_1115,78.61
CVAE_11202,74.85
CVAE_11239,73.99
CVAE_11555,81.61
CVAE_11851,78.37
CVAE_12057,71.79
CVAE_12084,71.66
CVAE_12314,70.95
CVAE_12356,70.18
CVAE_12454,80.79
CVAE_12592,80.16
CVAE_12961,68.4
CVAE_1318,85.86
CVAE_1320,79.92
CVAE_13292,70.82
CVAE_13619,85.74
CVAE_13743,79.73
CVAE_13750,78.56
CVAE_13765,68.04
CVAE_14530,73.7
CVAE_14567,71.85
CVAE_14801,69.14
CVAE_15019,77.56
CVAE_15254,73.59
CVAE_15282,72.17
CVAE_154,79.66
CVAE_15414,76.3
CVAE_15535,82.77
CVAE_15546,79.3
CVAE_15588,78.98
CVAE_15623,75.29
CVAE_15744,76.03
CVAE_15800,74.33
CVAE_15811,77.37
CVAE_16016,77.59
CVAE_16213,77.06
CVAE_1697,72.05
CVAE_17036,75.1
CVAE_17222,77.18
CVAE_17231,72.07
CVAE_17284,81.54
CVAE_1768,79.35
CVAE_17695,72.41
CVAE_17916,61.69
CVAE_17978,67.25
CVAE_18027,71.21
CVAE_18211,90.49
CVAE_1822,74.85
CVAE_18242,62.07
CVAE_18490,78.38
